"stock","species","broodyear","recruits","spawners"
"Puyallup","Pink-Odd",1959,35762,14000
"Puyallup","Pink-Odd",1961,115338,10000
"Puyallup","Pink-Odd",1963,36145,10221
"Puyallup","Pink-Odd",1965,45313,25131
"Puyallup","Pink-Odd",1967,24152,22038
"Puyallup","Pink-Odd",1969,66498,16003
"Puyallup","Pink-Odd",1971,32721,40000
"Puyallup","Pink-Odd",1973,38204,12194
"Puyallup","Pink-Odd",1975,57846,11800
"Puyallup","Pink-Odd",1977,111968,29429
"Puyallup","Pink-Odd",1979,37940,29481
"Puyallup","Pink-Odd",1981,25827,12115
"Puyallup","Pink-Odd",1983,54789,11600
"Puyallup","Pink-Odd",1985,48423,34100
"Puyallup","Pink-Odd",1987,113178,34400
"Puyallup","Pink-Odd",1989,24600,49850
"Puyallup","Pink-Odd",1991,14312,14000
"Puyallup","Pink-Odd",1993,27926,10069
"Puyallup","Pink-Odd",1995,3703,17596
"Puyallup","Pink-Odd",1997,4832,2732
"Puyallup","Pink-Odd",1999,18875,4653
"Puyallup","Pink-Odd",2001,213130,16577
"Puyallup","Pink-Odd",2003,323833,191515
"Puyallup","Pink-Odd",2005,471705,287230
"Puyallup","Pink-Odd",2007,1502355,417767
"Puyallup","Pink-Odd",2009,1034234,1203364
"Puyallup","Pink-Odd",2011,869920,792785
"Puyallup","Pink-Odd",2013,832550,596693
"Puyallup","Pink-Odd",2015,104208,626096
"Puyallup","Pink-Odd",2017,570753,85374
"Puyallup","Pink-Odd",2019,610026,515546
"Hood Canal","Pink-Odd",1959,44967,30500
"Hood Canal","Pink-Odd",1961,901739,36800
"Hood Canal","Pink-Odd",1963,221037,503000
"Hood Canal","Pink-Odd",1965,501233,160000
"Hood Canal","Pink-Odd",1967,60227,269000
"Hood Canal","Pink-Odd",1969,143701,42000
"Hood Canal","Pink-Odd",1971,72276,104000
"Hood Canal","Pink-Odd",1973,19748,46500
"Hood Canal","Pink-Odd",1975,81580,12500
"Hood Canal","Pink-Odd",1977,76320,44000
"Hood Canal","Pink-Odd",1979,12426,37100
"Hood Canal","Pink-Odd",1981,29372,6450
"Hood Canal","Pink-Odd",1983,91463,25000
"Hood Canal","Pink-Odd",1985,81812,63800
"Hood Canal","Pink-Odd",1987,120813,62100
"Hood Canal","Pink-Odd",1989,166550,60800
"Hood Canal","Pink-Odd",1991,39519,118200
"Hood Canal","Pink-Odd",1993,36244,35326
"Hood Canal","Pink-Odd",1995,9685,31286
"Hood Canal","Pink-Odd",1997,12981,8299
"Hood Canal","Pink-Odd",1999,104022,12663
"Hood Canal","Pink-Odd",2001,40521,98261
"Hood Canal","Pink-Odd",2003,17954,37462
"Hood Canal","Pink-Odd",2005,30709,17442
"Hood Canal","Pink-Odd",2007,11673,28964
"Hood Canal","Pink-Odd",2009,15524,10797
"Hood Canal","Pink-Odd",2011,203323,14275
"Hood Canal","Pink-Odd",2013,591671,191676
"Hood Canal","Pink-Odd",2015,28561,549512
"Hood Canal","Pink-Odd",2017,57157,27174
"Hood Canal","Pink-Odd",2019,466969,55297
"Snohomish","Pink-Odd",1959,82669,85000
"Snohomish","Pink-Odd",1961,983024,50168
"Snohomish","Pink-Odd",1963,303210,275042
"Snohomish","Pink-Odd",1965,210943,185015
"Snohomish","Pink-Odd",1967,109266,95013
"Snohomish","Pink-Odd",1969,191706,70009
"Snohomish","Pink-Odd",1971,207379,125000
"Snohomish","Pink-Odd",1973,129011,110000
"Snohomish","Pink-Odd",1975,237583,65751
"Snohomish","Pink-Odd",1977,404441,125990
"Snohomish","Pink-Odd",1979,205267,180724
"Snohomish","Pink-Odd",1981,265291,90096
"Snohomish","Pink-Odd",1983,565630,198283
"Snohomish","Pink-Odd",1985,244729,302192
"Snohomish","Pink-Odd",1987,329570,152418
"Snohomish","Pink-Odd",1989,292600,80149
"Snohomish","Pink-Odd",1991,125514,174000
"Snohomish","Pink-Odd",1993,169436,1e+05
"Snohomish","Pink-Odd",1995,147012,101600
"Snohomish","Pink-Odd",1997,253347,103537
"Snohomish","Pink-Odd",1999,1195100,237057
"Snohomish","Pink-Odd",2001,1648022,1073369
"Snohomish","Pink-Odd",2003,541646,1392568
"Snohomish","Pink-Odd",2005,1259510,482245
"Snohomish","Pink-Odd",2007,2517254,1143695
"Snohomish","Pink-Odd",2009,897289,1929839
"Snohomish","Pink-Odd",2011,3054656,433326
"Snohomish","Pink-Odd",2013,569619,1907088
"Snohomish","Pink-Odd",2015,72484,389446
"Snohomish","Pink-Odd",2017,628168,57491
"Snohomish","Pink-Odd",2019,849784,595953
"Dungeness","Pink-Odd",1959,83783,40000
"Dungeness","Pink-Odd",1961,638225,70000
"Dungeness","Pink-Odd",1963,101214,4e+05
"Dungeness","Pink-Odd",1965,206141,75000
"Dungeness","Pink-Odd",1967,20471,95000
"Dungeness","Pink-Odd",1969,62553,14400
"Dungeness","Pink-Odd",1971,71434,46000
"Dungeness","Pink-Odd",1973,36419,47000
"Dungeness","Pink-Odd",1975,65109,24300
"Dungeness","Pink-Odd",1977,115931,35700
"Dungeness","Pink-Odd",1979,6184,50100
"Dungeness","Pink-Odd",1981,5712,2900
"Dungeness","Pink-Odd",1983,6559,4888
"Dungeness","Pink-Odd",1985,2308,4730
"Dungeness","Pink-Odd",1987,15663,1906
"Dungeness","Pink-Odd",1989,13887,10902
"Dungeness","Pink-Odd",1991,1861,9895
"Dungeness","Pink-Odd",1993,9460,1695
"Dungeness","Pink-Odd",1995,5615,8252
"Dungeness","Pink-Odd",1997,7332,4935
"Dungeness","Pink-Odd",1999,81138,7306
"Dungeness","Pink-Odd",2001,15461,80344
"Dungeness","Pink-Odd",2003,8779,15116
"Dungeness","Pink-Odd",2005,6359,8667
"Dungeness","Pink-Odd",2007,44172,6223
"Dungeness","Pink-Odd",2009,29315,41477
"Dungeness","Pink-Odd",2011,414684,27405
"Dungeness","Pink-Odd",2013,357071,394016
"Dungeness","Pink-Odd",2015,18441,337616
"Dungeness","Pink-Odd",2017,49618,17753
"Dungeness","Pink-Odd",2019,160226,48233
"Stillaguamish","Pink-Odd",1959,205979,125000
"Stillaguamish","Pink-Odd",1961,2287418,125000
"Stillaguamish","Pink-Odd",1963,303185,640000
"Stillaguamish","Pink-Odd",1965,233114,185000
"Stillaguamish","Pink-Odd",1967,117056,105000
"Stillaguamish","Pink-Odd",1969,306729,75000
"Stillaguamish","Pink-Odd",1971,65984,2e+05
"Stillaguamish","Pink-Odd",1973,58918,35000
"Stillaguamish","Pink-Odd",1975,71653,30000
"Stillaguamish","Pink-Odd",1977,299923,38000
"Stillaguamish","Pink-Odd",1979,46884,135000
