"","stock","species","broodyear","spawners","recruits","r0.1","r0.2","r0.3","r0.4","r0.5","r1.1","r1.2","r1.3","r1.4","r1.5","r2","r2.1","r2.2","r2.3","r2.4","r2.5","r3","r3.1","r3.2","r3.3","r3.4","r4","r4.1","r4.2","r4.3","r4.4","r5","r6","r7","r8","stock.id","logRS"
"1","Ayakulik-Chinook","Chinook",1977,4958,16470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407,NA,NA,NA,NA,5063,NA,NA,NA,NA,1698,8647,655,NA,212,1.20053811057655
"2","Ayakulik-Chinook","Chinook",1978,4551,10526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1173,NA,NA,NA,NA,833,NA,NA,NA,NA,4314,3480,726,NA,212,0.838501397897082
"3","Ayakulik-Chinook","Chinook",1979,4641,10499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,NA,NA,NA,NA,2539,NA,NA,NA,NA,2434,4752,492,NA,212,0.816350154273765
"4","Ayakulik-Chinook","Chinook",1980,935,4767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367,NA,NA,NA,NA,745,NA,NA,NA,NA,1562,1799,294,NA,212,1.62892592591614
"5","Ayakulik-Chinook","Chinook",1981,7699,14769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,644,NA,NA,NA,NA,3137,NA,NA,NA,NA,3258,6547,1183,NA,212,0.651439939148261
"6","Ayakulik-Chinook","Chinook",1982,3230,15274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,NA,NA,NA,NA,1810,NA,NA,NA,NA,4327,7462,676,NA,212,1.55366989923163
"7","Ayakulik-Chinook","Chinook",1983,15366,22503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,848,NA,NA,NA,NA,4084,NA,NA,NA,NA,9142,7189,1240,NA,212,0.381491357210166
"8","Ayakulik-Chinook","Chinook",1984,6065,17032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1096,NA,NA,NA,NA,4009,NA,NA,NA,NA,4165,6676,1086,NA,212,1.03255938519516
"9","Ayakulik-Chinook","Chinook",1985,8075,19011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1595,NA,NA,NA,NA,2694,NA,NA,NA,NA,5288,8351,1083,NA,212,0.856244889900769
"10","Ayakulik-Chinook","Chinook",1986,6295,16738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801,NA,NA,NA,NA,2705,NA,NA,NA,NA,5175,6430,1627,NA,212,0.977925916114372
"11","Ayakulik-Chinook","Chinook",1987,15510,10899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,712,NA,NA,NA,NA,2285,NA,NA,NA,NA,3577,4115,210,NA,212,-0.352813935281273
"12","Ayakulik-Chinook","Chinook",1988,20770,10821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,752,NA,NA,NA,NA,2008,NA,NA,NA,NA,1893,4697,1471,NA,212,-0.652020947298509
