"","stock.id","species","stock.name","lat","lon","ocean.basin","state","begin","end","n.years","max.spawners","max.recruits","source","url","comments"
"1",1,"Sockeye","Atnarko-Sockeye","52.38","-126.78","WC","BC",1987,2011,25,55000,90984,NA,NA,NA
"2",2,"Sockeye","Ayakulik-Sockeye","57.2","-154.54","GOA","AK",1966,2010,45,774328,1786779,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner",NA,NA
"3",3,"Sockeye","Bear-Sockeye","56.16","-160.45","BS","AK",1981,2010,30,262946,1188080,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner",NA,"Late run"
"4",4,"Sockeye","Black Lake-Sockeye","56.28","-158.64","GOA","AK",1965,2010,46,769464.8943,3347748,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner",NA,"Chignik River Early Run"
"5",5,"Sockeye","Chignik Lake-Sockeye","56.28","-158.64","GOA","AK",1965,2010,46,557174.3431,2279874,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner",NA,"Chignik River Late Run"
"6",6,"Sockeye","Chilkoot-Sockeye","58.92","-135.23","WC","AK",1976,2011,36,103038,421796,"Rich Brenner, 2017, ADF&G, Juneau, AK",NA,NA
"7",7,"Sockeye","Coghill-Sockeye","61.06","-147.94","GOA","AK",1962,2008,47,187263,1251046,"Rich Brenner, 2017, ADF&G, Juneau, AK",NA,"Returns are harvested in various districts prior to the Coghill District. Stock-of-origin is estimated based on the timing and location of harvest and, sometimes, from available scale pattern analysis."
"8",8,"Sockeye","Copper-Sockeye","60.46","-144.96","GOA","AK",1961,2010,50,900332.7069,3102759,"Rich Brenner, 2017, ADF&G, Juneau, AK",NA,"Used the ""Wild_BY_Return"" worksheet.  Hatchery component of the run was removed by subtracting hatchery salmon post season and assuming age composition matches that of hatchery fish; upper and lower river values combined because runs not identified in harvests. With wild vs. hatchery, and delta vs. upriver components, the Copper River can get really complicated. Also, the Miles Lake sonar cannot distinguish between various species. Thus, Chinook salmon are subtracted from the sonar counts post-season, as are estimates of fish harvest upriver in personal use and subsistence fisheries."
"9",9,"Sockeye","Early Karluk-Sockeye","57.57","-154.45","GOA","AK",1981,2010,30,456842,854227,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner",NA,"Smolts enter ocean at BY+3 or BY+4"
"10",10,"Sockeye","Early Upper Station-Sockeye","57.06","-154.36","GOA","AK",1969,2010,42,170610,294021,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner",NA,"Early run"
"11",11,"Sockeye","Eshamy-Sockeye","60.47","-147.94","GOA","AK",1964,2006,35,68129,276208.5,"Rich Brenner, 2017, ADF&G, Juneau, AK",NA,"the weir was replaced in ~2012 with a video system that has not been entirely successful. Thus, only data until 2012 should be used for brood-year returns."
"12",12,"Sockeye","Fennell-Sockeye","49.12","-123.06","WC","BC",1963,2011,46,15409,78650,"Sue Grant (DFO), Bronwyn McDonald (DFO) and Mike Lapointe (PSC) via Brendan Connors (ESSA Technologies)",NA,NA
"13",13,"Sockeye","Frazer-Sockeye","57.13","-154.04","GOA","AK",1966,2009,44,485835,2227028,"Kevin Schaberg, ADF&G Kodiak, via Rich Brenner",NA,NA
