stock.id,species,stock,region,useflag,broodyear,spawners,r2,r3,r4,r5,r6,r7,r8,recruits
333,Chinook,Cowichan,ECVI,1,1989,7000,1762,1356,2447,130,#N/A,#N/A,#N/A,5695
333,Chinook,Cowichan,ECVI,1,1990,22300,2191,2146,1414,38,#N/A,#N/A,#N/A,5789
333,Chinook,Cowichan,ECVI,1,1991,6762,526,1699,3122,65,#N/A,#N/A,#N/A,5412
333,Chinook,Cowichan,ECVI,1,1992,9278,10701,6948,5885,203,#N/A,#N/A,#N/A,23737
333,Chinook,Cowichan,ECVI,1,1993,5376,4975,4470,3136,25,#N/A,#N/A,#N/A,12607
333,Chinook,Cowichan,ECVI,1,1994,13944,3966,5474,1922,144,#N/A,#N/A,#N/A,11505
333,Chinook,Cowichan,ECVI,1,1995,15082,1126,1195,1322,117,#N/A,#N/A,#N/A,3760
333,Chinook,Cowichan,ECVI,1,1996,14386,2548,2173,2125,53,#N/A,#N/A,#N/A,6899
333,Chinook,Cowichan,ECVI,1,1997,9940,779,1289,1214,85,#N/A,#N/A,#N/A,3368
333,Chinook,Cowichan,ECVI,1,1998,5690,1187,1473,1062,58,#N/A,#N/A,#N/A,3780
333,Chinook,Cowichan,ECVI,1,1999,4418,820,675,1165,147,#N/A,#N/A,#N/A,2807
333,Chinook,Cowichan,ECVI,1,2000,4718,1117,732,846,68,#N/A,#N/A,#N/A,2763
333,Chinook,Cowichan,ECVI,1,2001,3561,946,800,843,48,#N/A,#N/A,#N/A,2638
333,Chinook,Cowichan,ECVI,1,2002,2939,523,291,202,0,#N/A,#N/A,#N/A,1016
333,Chinook,Cowichan,ECVI,1,2003,2901,691,553,539,20,#N/A,#N/A,#N/A,1804
333,Chinook,Cowichan,ECVI,1,2004,2317,669,875,512,11,#N/A,#N/A,#N/A,2068
333,Chinook,Cowichan,ECVI,1,2005,1893,1007,365,265,19,#N/A,#N/A,#N/A,1656
333,Chinook,Cowichan,ECVI,1,2006,1473,211,148,418,40,#N/A,#N/A,#N/A,817
333,Chinook,Cowichan,ECVI,1,2007,2422,156,1230,650,50,#N/A,#N/A,#N/A,2086
333,Chinook,Cowichan,ECVI,1,2008,1108,1068,1458,1364,117,#N/A,#N/A,#N/A,4006
333,Chinook,Cowichan,ECVI,1,2009,580,675,852,1647,30,#N/A,#N/A,#N/A,3204
333,Chinook,Cowichan,ECVI,1,2010,2734,452,2642,917,175,#N/A,#N/A,#N/A,4187
333,Chinook,Cowichan,ECVI,1,2011,2824,2274,3238,4195,436,#N/A,#N/A,#N/A,10143
333,Chinook,Cowichan,ECVI,1,2012,2718,583,1614,3310,121,#N/A,#N/A,#N/A,5627
333,Chinook,Cowichan,ECVI,1,2013,6680,816,3926,3675,128,#N/A,#N/A,#N/A,8545
333,Chinook,Cowichan,ECVI,1,2014,4768,2111,8777,4844,96,#N/A,#N/A,#N/A,15828
333,Chinook,Cowichan,ECVI,1,2015,6800,10251,9381,9567,149,#N/A,#N/A,#N/A,29349
333,Chinook,Cowichan,ECVI,1,2016,9782,5895,5440,5227,119,#N/A,#N/A,#N/A,16681
333,Chinook,Cowichan,ECVI,1,2017,22823,3155,3360,3003,#N/A,#N/A,#N/A,#N/A,#N/A
333,Chinook,Cowichan,ECVI,1,2018,20249,14173,9781,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
333,Chinook,Cowichan,ECVI,1,2019,18258,8521,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
333,Chinook,Cowichan,ECVI,1,2020,22910,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
333,Chinook,Cowichan,ECVI,1,2021,21424,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
