Stock.ID,Species,Stock,Region,UseFlag,BroodYear,Spawners,R2,R3,R4,R5,R6,R7,R8,Recruits
101,Chinook,Ayakulik,Westward,1,1977,4958,NA,407,5063,1698,8647,655,NA,16470
101,Chinook,Ayakulik,Westward,1,1978,4551,NA,1173,833,4314,3480,726,NA,10526
101,Chinook,Ayakulik,Westward,1,1979,4641,NA,282,2539,2434,4752,492,NA,10499
101,Chinook,Ayakulik,Westward,1,1980,935,NA,367,745,1562,1799,294,NA,4767
101,Chinook,Ayakulik,Westward,1,1981,7699,NA,644,3137,3258,6547,1183,NA,14769
101,Chinook,Ayakulik,Westward,1,1982,3230,NA,999,1810,4327,7462,676,NA,15274
101,Chinook,Ayakulik,Westward,1,1983,15366,NA,848,4084,9142,7189,1240,NA,22503
101,Chinook,Ayakulik,Westward,1,1984,6065,NA,1096,4009,4165,6676,1086,NA,17032
101,Chinook,Ayakulik,Westward,1,1985,8075,NA,1595,2694,5288,8351,1083,NA,19011
101,Chinook,Ayakulik,Westward,1,1986,6295,NA,801,2705,5175,6430,1627,NA,16738
101,Chinook,Ayakulik,Westward,1,1987,15510,NA,712,2285,3577,4115,210,NA,10899
101,Chinook,Ayakulik,Westward,1,1988,20770,NA,752,2008,1893,4697,1471,NA,10821
101,Chinook,Ayakulik,Westward,1,1989,15042,NA,977,2823,2346,11744,594,NA,18484
101,Chinook,Ayakulik,Westward,1,1990,10999,NA,97,1016,2813,5964,836,NA,10726
101,Chinook,Ayakulik,Westward,1,1991,12425,NA,987,2804,3465,8500,558,NA,16314
101,Chinook,Ayakulik,Westward,1,1992,8359,NA,996,3465,3104,9788,267,NA,17620
101,Chinook,Ayakulik,Westward,1,1993,6815,NA,573,1578,2551,4754,179,NA,9635
101,Chinook,Ayakulik,Westward,1,1994,8190,NA,1150,2771,8324,10716,589,NA,23550
101,Chinook,Ayakulik,Westward,1,1995,17501,NA,1603,3289,12010,12981,743,NA,30626
101,Chinook,Ayakulik,Westward,1,1996,9925,NA,464,888,3711,3626,127,NA,8816
101,Chinook,Ayakulik,Westward,1,1997,13167,NA,178,1664,4188,3766,710,NA,10506
101,Chinook,Ayakulik,Westward,1,1998,13779,NA,1698,3452,10207,16276,250,NA,31883
101,Chinook,Ayakulik,Westward,1,1999,12894,NA,714,3417,6568,3239,187,NA,14125
101,Chinook,Ayakulik,Westward,1,2000,19724,NA,122,732,3471,1077,1327,NA,6729
101,Chinook,Ayakulik,Westward,1,2001,13361,NA,356,1046,1457,3314,526,NA,6699
101,Chinook,Ayakulik,Westward,1,2002,12190,NA,336,416,1335,1229,151,NA,3467
101,Chinook,Ayakulik,Westward,1,2003,17106,NA,98,380,829,804,350,NA,2461
101,Chinook,Ayakulik,Westward,1,2004,24425,NA,110,397,768,1585,172,NA,3032
101,Chinook,Ayakulik,Westward,1,2005,8175,NA,113,691,1525,1900,85,NA,4314
101,Chinook,Ayakulik,Westward,1,2006,2937,NA,217,1637,1473,2905,169,NA,6401
101,Chinook,Ayakulik,Westward,1,2007,6232,NA,134,730,1172,1880,81,NA,3997
101,Chinook,Ayakulik,Westward,1,2008,3071,NA,120,633,649,428,140,NA,1970
101,Chinook,Ayakulik,Westward,1,2009,2615,NA,48,178,228,617,1070,NA,2141
101,Chinook,Ayakulik,Westward,0,2010,5197,NA,130,192,868,NA,NA,NA,1190
101,Chinook,Ayakulik,Westward,0,2011,4251,NA,72,710,NA,NA,NA,NA,782
101,Chinook,Ayakulik,Westward,0,2012,4744,NA,400,NA,NA,NA,NA,NA,400
101,Chinook,Ayakulik,Westward,0,2013,2354,NA,NA,NA,NA,NA,NA,NA,NA
101,Chinook,Ayakulik,Westward,0,2014,917,NA,NA,NA,NA,NA,NA,NA,NA
101,Chinook,Ayakulik,Westward,0,2015,2392,NA,NA,NA,NA,NA,NA,NA,NA
102,Chinook,Karluk,Westward,1,1976,6436,NA,418,625,2297,3082,721,NA,7143
102,Chinook,Karluk,Westward,1,1977,7973,NA,275,1169,2639,5946,740,NA,10769
102,Chinook,Karluk,Westward,1,1978,9334,NA,409,1018,3685,4115,551,NA,9778
102,Chinook,Karluk,Westward,1,1979,9094,NA,286,1011,2040,2610,409,NA,6356
102,Chinook,Karluk,Westward,1,1980,4349,NA,237,563,1236,1746,345,NA,4127
102,Chinook,Karluk,Westward,1,1981,7114,NA,306,668,1615,2999,558,NA,6146
102,Chinook,Karluk,Westward,1,1982,6693,NA,335,837,2782,5037,621,NA,9612
102,Chinook,Karluk,Westward,1,1983,11442,NA,384,1471,4578,4662,1023,NA,12118
102,Chinook,Karluk,Westward,1,1984,7572,NA,646,2270,3590,7025,1225,NA,14756
102,Chinook,Karluk,Westward,1,1985,4890,NA,732,1278,4046,5966,700,NA,12722
102,Chinook,Karluk,Westward,1,1986,4307,NA,415,1353,3419,3673,124,NA,8984
102,Chinook,Karluk,Westward,1,1987,7731,NA,945,2364,3622,10288,1087,NA,18306
102,Chinook,Karluk,Westward,1,1988,12518,NA,977,1519,5205,10254,1488,NA,19443
102,Chinook,Karluk,Westward,1,1989,9925,NA,481,1376,3487,8521,934,NA,14799
102,Chinook,Karluk,Westward,1,1990,13742,NA,97,1643,2147,5811,879,NA,10577
102,Chinook,Karluk,Westward,1,1991,12423,NA,661,1847,2899,6865,161,NA,12433
102,Chinook,Karluk,Westward,1,1992,8745,NA,454,1915,5248,7907,850,NA,16374
102,Chinook,Karluk,Westward,1,1993,12310,NA,176,1259,1686,5898,150,NA,9169
102,Chinook,Karluk,Westward,1,1994,10566,NA,589,1437,5846,6777,703,NA,15352
102,Chinook,Karluk,Westward,1,1995,11373,NA,203,1270,3531,4554,376,NA,9934
102,Chinook,Karluk,Westward,1,1996,8356,NA,166,472,1543,3248,155,NA,5584
102,Chinook,Karluk,Westward,1,1997,11869,NA,245,173,2848,2012,549,NA,5827
102,Chinook,Karluk,Westward,1,1998,9066,NA,151,2242,5013,5603,240,NA,13249
102,Chinook,Karluk,Westward,1,1999,11297,NA,289,1583,3422,2377,1135,NA,8806
102,Chinook,Karluk,Westward,1,2000,7879,NA,121,459,2111,2905,499,NA,6095
102,Chinook,Karluk,Westward,1,2001,3149,NA,133,521,912,1179,105,NA,2850
102,Chinook,Karluk,Westward,1,2002,6574,NA,162,225,368,533,108,NA,1396
102,Chinook,Karluk,Westward,1,2003,6965,NA,88,107,160,410,334,NA,1099
102,Chinook,Karluk,Westward,1,2004,6805,NA,70,52,497,1332,376,NA,2327
102,Chinook,Karluk,Westward,1,2005,4611,NA,20,256,862,1249,155,NA,2542
102,Chinook,Karluk,Westward,1,2006,3351,NA,53,325,1449,1865,618,NA,4310
102,Chinook,Karluk,Westward,1,2007,1609,NA,34,260,1072,655,132,NA,2153
102,Chinook,Karluk,Westward,1,2008,752,NA,65,209,792,599,115,NA,1780
102,Chinook,Karluk,Westward,1,2009,1306,NA,50,496,548,1076,2170,NA,4340
102,Chinook,Karluk,Westward,0,2010,2916,NA,793,318,1181,NA,NA,NA,2292
102,Chinook,Karluk,Westward,0,2011,3420,NA,119,469,NA,NA,NA,NA,588
102,Chinook,Karluk,Westward,0,2012,3197,NA,178,NA,NA,NA,NA,NA,178
102,Chinook,Karluk,Westward,0,2013,1824,NA,NA,NA,NA,NA,NA,NA,NA
102,Chinook,Karluk,Westward,0,2014,1182,NA,NA,NA,NA,NA,NA,NA,NA
102,Chinook,Karluk,Westward,0,2015,2777,NA,NA,NA,NA,NA,NA,NA,NA
103,Chinook,Chignik,Westward,1,1980,669,NA,129,1430,1692,2695,9.2,NA,5955.2
103,Chinook,Chignik,Westward,1,1981,1396,NA,217,765,2120,1982,3.9,NA,5087.9
103,Chinook,Chignik,Westward,1,1982,2205,NA,116,958,1559,3998,3.2,NA,6634.2
103,Chinook,Chignik,Westward,1,1983,1736,NA,145,704,3145,2983,4.2,NA,6981.2
103,Chinook,Chignik,Westward,1,1984,5341,NA,107,1421,2347,3554,1.4,NA,7430.4
103,Chinook,Chignik,Westward,1,1985,2937,NA,215,1060,2796,2857,2.5,NA,6930.5
103,Chinook,Chignik,Westward,1,1986,3405,NA,161,1263,2247,3056,2.1,NA,6729.1
103,Chinook,Chignik,Westward,1,1987,2417,NA,191,1015,2405,3869,3.2,NA,7483.2
103,Chinook,Chignik,Westward,1,1988,4635,NA,154,1086,2054,1900,1.2,NA,5195.2
103,Chinook,Chignik,Westward,1,1989,3135,NA,165,1007,2475,4677,2.9,NA,8326.9
103,Chinook,Chignik,Westward,1,1990,4157,NA,89,322,1070,2726,1,NA,4208
103,Chinook,Chignik,Westward,1,1991,4338,NA,144,890,1266,2196,1,NA,4497
103,Chinook,Chignik,Westward,1,1992,3599,NA,178,438,1797,1448,1.1,NA,3862.1
103,Chinook,Chignik,Westward,1,1993,1739,NA,0,1098,2224,1791,3.1,NA,5116.1
103,Chinook,Chignik,Westward,1,1994,2809,NA,50,955,2040,1940,1.8,NA,4986.8
103,Chinook,Chignik,Westward,1,1995,4081,NA,239,1822,2083,1425,1.4,NA,5570.4
103,Chinook,Chignik,Westward,1,1996,3278,NA,206,575,1033,1341,1.2,NA,3156.2
