Brood year,Spawning Escapement,Age 4 Recruits,Age 5 Recruits,Age 6 Recruits,Total Recruits,Stocks
1984,2190,7693,11666,7510,26869,Middle_Skeena
1985,3240,0,1962,2511,4473,Middle_Skeena
1986,2490,7770,7549,6590,21909,Middle_Skeena
1987,22297,4207,6880,14678,25766,Middle_Skeena
1988,9532,6909,24953,17475,49337,Middle_Skeena
1989,10789,7590,8687,4816,21093,Middle_Skeena
1990,4353,1948,5810,5251,13009,Middle_Skeena
1991,4503,5451,18612,2163,26225,Middle_Skeena
1992,10196,7278,8986,3243,19506,Middle_Skeena
1993,21280,7307,7395,8053,22756,Middle_Skeena
1994,14965,2826,7536,3862,14224,Middle_Skeena
1995,7633,5379,11597,6384,23361,Middle_Skeena
1996,15086,15420,31332,4944,51696,Middle_Skeena
1997,9015,6717,6594,3610,16921,Middle_Skeena
1998,6720,6695,19423,12642,38761,Middle_Skeena
1999,6860,1980,7519,2759,12258,Middle_Skeena
2000,12917,9705,13346,6636,29687,Middle_Skeena
2001,18935,2897,6349,934,10179,Middle_Skeena
2002,5804,15437,25849,5528,46814,Middle_Skeena
2003,13421,1385,9887,1998,13269,Middle_Skeena
2004,16911,6143,12144,10913,29200,Middle_Skeena
2005,8707,2281,9760,1003,13044,Middle_Skeena
2006,11280,4045,5025,2198,11268,Middle_Skeena
2007,12736,1097,3794,1433,6324,Middle_Skeena
2008,9426,1727,11129,2323,15180,Middle_Skeena
2009,10503,1384,3462,1183,6029,Middle_Skeena
2010,12456,3818,8761,987,13566,Middle_Skeena
2011,3150,2053,3752,0,5805,Middle_Skeena
2012,3598,298,4344,167,4809,Middle_Skeena
2013,9038,791,5659,238,6687,Middle_Skeena
2014,6174,3372,3499,,6872,Middle_Skeena
2015,6560,170,,,170,Middle_Skeena
1984,1448,2103,3547,2579,8229,Upper_Skeena
1985,1992,638,991,2262,3890,Upper_Skeena
1986,740,5087,3703,6403,15193,Upper_Skeena
1987,7440,1284,1276,9502,12063,Upper_Skeena
1988,4272,6728,16636,8929,32293,Upper_Skeena
1989,2493,0,6001,6280,12280,Upper_Skeena
