stock.id,species,stock,region,sub.region,brood.yr,spawners,recruits,use,recruits.3,recruits.4,recruits.5,age,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1968,13200,102452,1,37698,58088,6666,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1969,33900,49559,1,17844,30950,764,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1970,23100,32833,1,9999,22833,0,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1971,37600,28026,1,21350,6531,145,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1972,22400,70218,1,27309,42910,0,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1973,14500,10955,1,5213,5742,0,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1974,12200,86085,1,42111,43012,963,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1975,12600,5535,1,3689,1846,0,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1976,16500,38112,1,5216,30579,2318,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1977,40200,60299,1,34344,25415,539,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1978,18900,157372,1,12809,118238,26324,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1979,6915,40598,1,16044,22651,1903,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1980,37300,49807,1,19046,30188,572,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1981,22120,57537,1,33273,23396,869,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1982,66889,115368,1,47578,61141,6649,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1983,20871,42103,1,4811,30519,6773,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1984,42635,250667,1,59197,173355,18115,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1985,52703,16437,1,2746,12135,1556,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1986,34040,34375,1,4924,18420,11030,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1987,31884,45533,1,643,39726,5164,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1988,61947,138232,1,16606,93331,28295,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1989,17056,23074,1,2245,16260,4569,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1990,17762,26924,1,3554,19151,4219,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1991,33959,23160,1,7660,14806,694,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1992,37068,27442,1,7540,18898,1005,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1993,31017,25933,1,2211,18052,5670,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1994,30526,79110,1,14435,59548,5127,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1995,24695,18093,1,10016,7590,487,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1996,20011,50096,1,13080,34269,2747,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1997,33314,50276,1,11915,30841,7520,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1998,65101,61052,1,18931,39345,2777,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,1999,24512,131944,1,44017,74465,13463,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,2000,40030,98884,1,6641,85882,6361,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,2001,29389,32312,1,14158,16946,1208,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,2002,59243,24546,1,4612,18390,1544,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,2003,47347,17236,1,2940,13475,821,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,2004,84021,13317,1,2337,9521,1458,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,2005,11924,8590,1,2184,5796,610,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,2006,14717,31604,1,9984,20111,1509,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,2007,17085,91053,1,5665,67096,18292,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,2008,9008,22096,1,1082,18883,2131,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,2009,12629,18332,1,5414,11735,1183,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,2010,24546,32520,1,7417,22766,2337,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,2011,65764,50834,1,6185,35278,9371,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,2012,25519,89138,1,10694,72275,6169,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,2013,23642,13633,1,4341,8836,457,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,2014,25612,19190,1,6901,9546,2743,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,2015,44147,59001,1,33660,21454,3887,data,,,,,,,,,,,,
301,Chum,Willapa Bay,Outside WA,Outside WA,2016,78725,54632,1,19356,28385,6891,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1969,11150,46156,1,14133,30493,1530,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1970,15700,39290,1,13211,25666,413,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1971,10250,16839,1,11054,5785,0,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1972,8000,48667,1,18110,29710,847,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1973,12350,19861,1,3486,16137,238,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1974,8300,,,18882,18741,,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1975,11750,,,2036,,135,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1976,11650,,,,20256,979,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1977,21000,55516,1,24623,26436,4457,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1978,11000,99949,1,10243,79956,9750,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1979,,16350,,6367,9518,465,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1980,24700,32511,1,19268,13019,224,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1981,18050,56008,1,33012,20380,2616,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1982,35100,75005,1,24187,47770,3048,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1983,21000,19300,1,1936,15308,2056,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1984,23700,193236,1,49377,132554,11305,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1985,31300,10289,1,2330,6760,1199,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1986,19550,13438,1,991,9133,3314,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1987,9475,34178,1,1618,29740,2820,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1988,62175,108456,1,12350,78548,17558,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1989,9080,25037,1,1576,16837,6624,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1990,8972,24885,1,3489,15741,5655,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1991,17936,9414,1,2594,6300,520,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1992,38300,21960,1,8442,13197,321,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1993,21059,18932,1,3022,11031,4879,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1994,24592,34802,1,2611,29657,2534,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1995,12616,6968,1,3918,2979,71,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1996,12413,17627,1,9623,6804,1200,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1997,13456,28370,1,3901,17651,6818,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1998,35188,33306,1,7026,24927,1353,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,1999,12260,79870,1,32917,42768,4185,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,2000,8936,29957,1,4547,22821,2589,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,2001,24898,23219,1,4931,16971,1317,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,2002,56175,16985,1,1783,12714,2488,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,2003,37947,9163,1,1135,7784,244,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,2004,17063,5724,1,1485,3555,684,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,2005,14490,16412,1,2497,11125,2790,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,2006,10826,41414,1,7147,32857,1410,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,2007,11051,62104,1,6543,44681,10880,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,2008,3938,27664,1,2244,22593,2827,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,2009,14585,33754,1,3593,27437,2724,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,2010,33537,34120,1,8924,21858,3338,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,2011,29043,41731,1,2923,33644,5164,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,2012,25452,77763,1,9813,60898,7052,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,2013,21284,14147,1,2311,11229,607,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,2014,14711,26417,1,9837,16047,533,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,2015,33705,55818,1,25532,29879,407,data,,,,,,,,,,,,
302,Chum,Grays Harbour,Outside WA,Outside WA,2016,62811,22044,1,8117,13295,632,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1968,22007,128509,1,10005,116155,2349,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1969,3439,41801,1,17193,23863,745,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1970,5410,29271,1,15002,14125,144,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1971,4809,13754,1,7762,5916,77,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1972,33523,74853,1,2392,72371,90,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1973,9643,10407,1,4289,5938,180,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1974,19729,13738,1,4009,9678,50,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1975,5803,5537,1,5101,406,30,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1976,32743,7693,1,1065,5299,1329,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1977,3835,22231,1,9752,11656,822,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1978,5875,4838,1,1007,3303,527,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1979,1005,5448,1,2753,2524,171,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1980,7555,15112,1,1789,13013,310,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1981,6294,10129,1,5813,3867,449,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1982,4089,19455,1,3330,14690,1435,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1983,1769,16975,1,4351,10540,2085,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1984,8034,91579,1,15780,72281,3518,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1985,4022,43916,1,11902,28070,3944,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1986,10019,61065,1,5370,48864,6831,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1987,19058,28878,1,1972,21447,5459,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1988,31282,150291,1,11438,130441,8411,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1989,7424,31869,1,5459,19899,6511,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1990,14385,69011,1,7301,55085,6625,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1991,12181,7442,1,2234,4523,686,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1992,27760,177629,1,52425,121402,3802,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1993,33177,17264,1,2985,10840,3439,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1994,54391,54085,1,2055,49547,2482,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1995,55179,50146,1,34518,14964,665,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1996,114316,47511,1,6099,37176,4236,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1997,16001,56728,1,1140,52040,3548,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1998,80404,75468,1,27835,45239,2394,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1999,23461,42079,1,9758,25133,7188,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2000,27705,201832,1,21543,161930,18359,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2001,62821,30102,1,9080,21022,0,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2002,46798,78678,1,5612,70917,2148,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2003,45945,51969,1,7880,41932,2158,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2004,120782,42582,1,13632,25825,3126,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2005,24701,29100,1,4083,18758,6260,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2006,63345,41794,1,3126,35824,2843,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2007,52669,44996,1,7001,31147,6848,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2008,20872,30153,1,5821,20153,4180,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2009,21659,46599,1,11935,32521,2142,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2010,43739,28681,1,1631,21485,5565,data,,,,,,,,,,,,
