X,species,stock,ocean.region,sub.region,jurisdiction,lat,lon,source.id,comment
,Chum,Willapa Bay,SC,Outside WA,WA,46.3733,123.9575,1,
,Chum,Grays Harbour,SC,Outside WA,WA,46.95083,124.0497,1,
,Chum,S Sound Summer,SC,Inside WA,WA,47.042,122.835,1,
,Chum,S Sound Fall,SC,Inside WA,WA,47.042,122.835,1,
,Chum,S Sound Winter,SC,Inside WA,WA,47.042,122.835,1,
,Chum,Hood Canal,SC,Inside WA,WA,47.5644,122.9956,1,
,Chum,Port Susan,SC,Inside WA,WA,48.23861,122.3758,1,
,Chum,Skagit,SC,Inside WA,WA,48.3875,122.3656,1,
,Chum,Bellingham,SC,Inside WA,WA,48.775,122.5978,1,
,Chum,Strait of Juan de Fuca,SC,Inside WA,WA,48.162,123.59,1,
,Chum,Fraser,SC,South Coast,BC,49.12333,123.0569,2,
,Chum,BC South (no Fraser),SC,South Coast,BC,50.28778,125.2008,"3, 4","Statistical Areas 11-17, 28A, 28B, 29B"
,Chum,Area 10,SC,Central Coast,BC,51.28722,127.6819,"5, 6",
,Chum,Area 9,SC,Central Coast,BC,51.46556,127.7422,"5, 6",
,Chum,Area 8,SC,Central Coast,BC,51.62194,127.8289,"5, 6",
,Chum,Area 7,SC,Central Coast,BC,52.12916,128.380149,"5, 6",
,Chum,Area 6,NC,North Coast,BC,53.08889,129.1992,"5, 6",
,Chum,Area 5,NC,North Coast,BC,53.66302,130.423874,"5, 6",
,Chum,Area 4,NC,North Coast,BC,54.247243,130.477433,"5, 6",
,Chum,Area 3,NC,North Coast,BC,54.676678,130.502152,"5, 6",
,Chum,Area 2W,NC,North Coast,BC,52.988408,132.411026,"5, 6",
,Chum,Area 2E,NC,North Coast,BC,53.0175,131.5778,"5, 6",
,Chum,Area 1,NC,North Coast,BC,54.071771,132.204764,"5, 6",
,Chum,Kadashan,NC,SEAK,AK,57.575,134.75,7,
,Chum,Chilkat,NC,SEAK,AK,59.201231,135.466669,7,
,Chum,East Alsek,NC,SEAK,AK,59.434,139.547,7,
,Chum,Prince William Sound,GoA,Central AK,AK,60.5,147,8,
,Chum,Kamishak,GoA,Central AK,AK,59.27,154.1175,"9, 10",
,Chum,Outer Cook Inlet,GoA,Central AK,AK,59.38389,150.7528,"9, 10",
,Chum,S Cook Inlet,GoA,Central AK,AK,59.52528,151.48,"9, 10",
,Chum,Upper Cook Inlet,GoA,Central AK,AK,61.271,150.576,11,
,Chum,Alitak,GoA,Kodiak,AK,56.88528,154.1217,27,
,Chum,E Kodiak,GoA,Kodiak,AK,57.089858,153.187928,27,
,Chum,SW Kodiak,GoA,Kodiak,AK,57.264508,154.613211,27,
,Chum,NE Kodiak,GoA,Kodiak,AK,57.77889,152.3592,27,
,Chum,NW Kodiak,GoA,Kodiak,AK,57.856839,153.882906,27,
,Chum,Mainland Kodiak,GoA,Kodiak,AK,58.03333,154.6644,27,
,Chum,Chignik,GoA,AK Peninsula,AK,56.59639,157.9933,27,
,Chum,NW AK Peninsula,BS,AK Peninsula,AK,54.982,163.37,27,
,Chum,S AK Peninsula,BS,AK Peninsula,AK,55.5,161,27,
,Chum,N AK Peninsula,BS,AK Peninsula,AK,56.46,159.68,27,
,Chum,Nushagak,BS,Bristol Bay,AK,58.622,158.591,15,
,Chum,Togiak,BS,Bristol Bay,AK,58.925,160.446,15,
,Chum,Norton Sound,BS,Norton-Kotzebue Sound,AK,64.52,165.12,"16, 20",District 1
,Chum,Kwiniuk Inlet,BS,Norton-Kotzebue Sound,AK,64.72,161.96,26,
,Chum,Kotzebue,BS,Norton-Kotzebue Sound,AK,66.46,161.91,"16, 22",
,Chum,Bella Coola-Dean Rivers,SC,Central Coast,BC,52.38,126.78,23,
,Chum,Mussel-Kynoch,SC,Central Coast,BC,52.61,128.52,23,
,Chum,Douglas-Gardner,SC,Central Coast,BC,53.96,128.68,23,
,Chum,Smith Inlet,SC,Central Coast,BC,51.31,127.43,23,
,Chum,Lower Skeena,NC,Skeena-Nass,BC,54.3,130.36,23,
,Chum,Skidegate,NC,Haida Gwaii,BC,54.09,132.22,23,
,Chum,SW-W Vancouver Island,SC,South Coast,BC,48.7,125.09,23,
,Chum,E Haida Gwaii,NC,Haida Gwaii,BC,53.26,131.62,23,
,Chum,N Haida Gwaii,NC,Haida Gwaii,BC,54.31,132.44,23,
,Chum,W Haida Gwaii,NC,Haida Gwaii,BC,53.12,132.82,23,
,Chum,Hecate Lowlands,SC,Central Coast,BC,53.42,129.25,23,
,Chum,NW Vancouver Island,SC,South Coast,BC,50.04,127.68,23,
,Chum,Spiller-Fitz-Hugh-Burke,SC,Central Coast,BC,52.16,128.14,23,
,Chum,Rivers Inlet,SC,Central Coast,BC,51.68,127.26,23,
,Chum,Portland Canal-Observatory,NC,Skeena-Nass,BC,54.82,-130.25,23,
,Chum,Portland Inlet,NC,Skeena-Nass,BC,55.04,-130,23,
,Chum,Yukon - Summer,BS,Arctic-Yukon-Kuskokwim,AK,62.55,-165,24,
,Chum,Yukon - Fall,BS,Arctic-Yukon-Kuskokwim,AK,62.55,-165,24,
,Chum,Kuskokwim,BS,Arctic-Yukon-Kuskokwim,AK,60.0407,-162.4261,25,
