population	pop_no	stat_area	group
belowe_ck	1	5	4
sylvia_ck	2	5	4
tsimtack_lk	3	5	4
brim	4	6	5
kemano	5	6	5
kiltush	6	6	5
paril	7	6	5
wahoo	8	6	5
dala	9	6	5
kildala	10	6	5
evelyn_ck	11	6	5
foch_ck	12	6	5
hartleybay_ck	13	6	4
hugh_ck	14	6	5
kiskosh_ck	15	6	5
quaal	16	6	4
riordan	17	6	5
aaltanhash	18	6	5
green	19	6	5
east_arm	20	6	4
west_arm	21	6	4
arnoup	22	6	4
nias	23	6	4
tyler_ck	24	6	4
roscoe	25	7	6
quartcha	26	7	6
martin	27	8	6
elcho	28	8	6
cascade	29	8	6
bella_coola	30	8	6
necleetsconnay	31	8	6
chuckwalla	32	9	7
docee	33	10	7
kasiks	34	4	3
ecstall	35	4	3
exchamsiks	36	4	3
exstew	37	4	3
kadeen	38	4	3
zymagotitz	39	4	3
babine_fence	40	4	3
nangeese_kspx	41	4	3
kitwanga	42	4	3
damshilgwit	43	4	3
bear	44	4	3
zolzap	45	3	2
meziadin	46	3	2
diskangieg	47	3	2
lachmach	48	3	2
tlell	49	2	1
deena	50	2	1
pallant_ck	51	2	1
salloomt	52	8	6
