Species,Area,Area unit,CU or PFMA,CU type,Data source,R/S first year,R/S last year,R/S missing,Total years,SQmean,CQmean,AQmean,RQmean,"Data quality (Grant & Pestal 2012, p.35)",Source of comments,Perct.streams,Escapement (comments),Return (comments),Age structure (comments),Recruitment (comments),Exploitation rate (comments),Catch (comments),"Stock, general (comments)",PFMA where CU caught
Sockeye,Fraser,CU,Anderson/Seton-ES,Current,S.Grant (Jan13-2014),1968,2006,,39,3.0,2.2,3.0,2.8,Good,Grant et al. (2011),,"peak live cumulative dead visual survey methods till 1979; since 1980 escapement based on counts of sockeye diverted into the creek at the diversion weir, but these are likely minimum esc. estimates due to vandalism of the weir; no gaps in escapement time series",,,Only four- and five-year olds are summed as recruits (by inspection of data sheets),,,"Channel at Gates Cr. finished in 1968 (designed to accommodate 18,000 sockeye) and we have time series since then; hydro facility, fishway & tailrace since 1956 may negatively impact sockeye",
Sockeye,Fraser,CU,Bowron-ES,Current,S.Grant (Jan13-2014),1950,2006,,57,3.2,2.1,3.0,2.9,Good,Grant et al. (2011),,"largely fence counts 1950-1963, largely visual (helicopter) 1964-present, no gaps in escapement time series; expansion factor high for this system, but corroborated by 1995 fence counts; therefore, 1985-1994 surveys may underestimate true escapement",,,Only four- and five-year olds are summed as recruits (by inspection of data sheets),,,Forest harvesting in the 1980s in the area due to mountain pine beetle outbreak; Bowron R. dominates total production,
Sockeye,Fraser,2 CUs combined,Chilko-Early Summer & Chilko-Summer,Current,S.Grant (Jan13-2014),1950,2006,1,56,4.0,2.1,3.0,3.3,Very Good,Grant et al. (2011),,"enumerated using mark-recapture until 2008, except for 1967, which was estimated based on expansion of counts at Henry's Bridge; 2009 DIDSON methods used to estimate abundance; no gap filling required in time series.",,,Only four- and five-year olds are summed as recruits (by inspection of data sheets),,,"Chilko lake fertilized in 1988 & 1990-1993, during which smolt size increased, and larger smolt body sizes were found to correlate with increased marine survival (Bradford et al. 2000); also fertilization seems to have increased abundance on the weaker 1989 cycle, and improved survival during the early 1990s (ibid.); small artificial side channel was operated from 1988-2004, decomissioned thereafter. ",
Sockeye,Fraser,CU,Cultus-Late,Current,S.Grant (Jan13-2014),1950,2006,,57,5.0,2.0,3.0,3.8,Excellent,Grant et al. (2011),,"counting fence 200m downstream of lake; hatchery enhancement started in 2000, so only wild unmarked fish (no adipose fin clip) were included in the escapement time series; no gaps in time series. To 1968, high escapements followed predator removal from Cultus Lk.",,,Only four- and five-year olds are summed as recruits (by inspection of data sheets),,,Hatchery enhancement started after 2000. Numerous possible causes for low productivity (see Grant et al. 2011).,
Sockeye,Fraser,subset of CU,Francois/Fraser-Summer,Current,S.Grant (Jan13-2014),1950,2000,,51,4.2,2.1,3.0,3.4,Very Good,Grant et al. (2011),,"Only Stellako River was included in the escapement time series; enumeration was mark recapture from 1950-1993 and 2007-2009, counting fence from 1994 to 2006, mark-recapture biases determined to be small; no gap-filling required.",,,Only four- and five-year olds are summed as recruits (by inspection of data sheets),,,"Log driving 1964-1968 left bark & wood fibre on the spawning grounds, and eroded river banks; flow management from hydro facility on Nechako R. has probably affected sockeye historically, but flows now managed to meet temperature targets for sockeye. ",
Sockeye,Fraser,CU,Harrison River,Current,S.Grant (Jan13-2014),1950,2009,,60,3.4,2.2,3.0,3.0,Good,Grant et al. (2011),,"mark recapture until 1971, also 1978 & 1979, after 1971 peak live cumulative dead visual surveys usually used, usually by boat, then by helicopter starting in 1994, esc. estimates 2005-8 likely biased low, visual assessment compromised in 1986, 1989, 1991 & 1993 due to poor visibility in lake, visual surveys biased low; no gap-filling required.",,,Only four- and five-year olds are summed as recruits (by inspection of data sheets),,,"Harrison R. flows very stable with coarse substrate; rapids & lower portion of river that are used by sockeye spawners have been dredged to maintain a navigation channel; unique freshwater residence, age structure, ocean migration time & migration routes, cf. other Fraser sockeye;  recent dramatic increases in productivity poorly understood. Overall, the use of visual surveys on the Harrison River introduces large negative biases, because observations are confounded by the size and depth of the river, and the large spawning populations of Chinook and Chum.",
Sockeye,Fraser,CU,Harrison-upstream migrating_Late,Current,S.Grant (Jan13-2014),1966,2006,,41,3.6,2.2,3.0,3.1,Good,Grant et al. (2011),,"mark-recapture (1950-1988), except for 1951, 1966-1968, assessed with peak live cumulative dead methods; 1989-2009 peak live cumulative dead visual surveys, except for 1994, 1996, 1998 (mark recapture), and 1999-2000 (enumeration fence); Weaver Chan. was exclusively assessed at the channel diversion fence.",,,Only four- and five-year olds are summed as recruits (by inspection of data sheets),,,"1961-1964 logging in the watershed caused near-extinction; road clearing for a ski resort in the 1970s probably caused decline in fry/egg survival in Weaver Cr.; gravel cleaning improved survival in the 1973 brood year, but in 1974-75 poor survival again due to sediment and organic debris in the gravel. Weaver Cr. diversion weir and spawning channel began operations in fall 1965 with approx. 8x higher egg/fry survival than the river; the channel also protects the Weaver run from periodic flooding events; elevated pre-spawn mortality in 1995 (parasite), and ""last 4 years"" [2006-2009?] (parasite); Weaver channel excavation conducted annually, and has been dredged a number of times. Channel production began in 1965, but full near-capacity starting in 1969; channel has approximately eight times higher fry/egg survival compared to the creek (natural spawning grounds), based on data available from 1965-1988; channel also protects the Weaver run from periodic flooding events. ""Pre-spawn mortality has been relatively high in the last four years, attributed to the Parvicapsula parasite."" [which years?] ""Channel excavation is conducted annually in lower Weaver Creek to maintain a low flow channel and holding pools, to improve conditions for salmon migration during low flow conditions. Weaver has also been dredged a number of times to maintain access to the spawning channel (Rood and Hamilton 1995)."" ",
Sockeye,Fraser,subset of CU,Kamloops_Early Summer,Current,S.Grant (Jan13-2014),1950,2006,,57,3.0,2.1,3.0,2.8,Good,Grant et al. (2011),,"Only Raft River included in the escapement time series. 1950-1999 Raft makes up appox. 90% of total escapement, but from 2000-2009, only 60%; esc. enumeration: combination of mark-recapture and visual survey methods, with mark recaptures generally conducted during years with larger abundance; no gap filling required.",,,Only four- and five-year olds are summed as recruits (by inspection of data sheets),,,,
Sockeye,Fraser,CU,Lillooet/Harrison_Late,Current,S.Grant (Jan13-2014),1950,2006,,57,4.0,2.1,3.0,3.3,Very Good,Grant et al. (2011),,"mark recapture to 1999, biases in the mark recapture methods were identified and modified in 1995; in 2000 overflight visual survey, in 2001 counting weir, post-2002, enumeration fence; 2002 was only gap in esc. time series, and used the average of previous and subsequent generation (cycle-line average methods).",,,Only four- and five-year olds are summed as recruits (by inspection of data sheets),,,"Most spawning for the CU occurs in Birkenhead R. (99%); dyking, floodplain ditching and filling have degraded salmon habitat; in Aug 2010, a major landslide resulted in rock and debris flows blocking Meager Cr north of Pemberton",
Sockeye,Fraser,CU,Nadina-Francois-Early Summer,VREQ[Bin],S.Grant (Jan13-2014),1973,2006,,34,3.0,2.3,3.0,2.8,Good,Grant et al. (2011),,Channel was enumerated census counts of carcasses; River was assessed using peak live cumulative dead methods,,,Only four- and five-year olds are summed as recruits (by inspection of data sheets),,,"Sockeye spawning channel built in 1973, with esc. time series reported only 1973-2004; elevated pre-spawn motality (parasite), especially in 1978, 1987 & 1995",
