production_stock_name,production_stock_code,broodyr,total_broodyr_spawners,total_broodyr_EFS,total_broodyr_age1_smolt,total_broodyr_age2_smolt,total_broodyr_fry_estimate,recruits_age21,recruits_age31,recruits_age32,recruits_age41,recruits_age42,recruits_age43,recruits_age51,recruits_age52,recruits_age53,recruits_age62,recruits_age63,recruits_age64,recruits_age72
Early Stuart,1,1948,20960,10859,NA,NA,NA,0,0,0,0,179412,0,0,18741,0,0,0,0,0
Early Stuart,1,1949,582228,168458,NA,NA,NA,0,0,6218,0,1029437,42,0,1271,0,0,0,0,0
Early Stuart,1,1950,59443,25658,NA,NA,NA,0,0,579,0,240545,0,0,542,0,0,0,0,0
Early Stuart,1,1951,61041,29785,NA,NA,NA,0,0,9,0,158428,0,0,15217,0,0,0,0,0
Early Stuart,1,1952,33582,15484,NA,NA,NA,0,0,28,0,78012,0,0,10560,0,0,0,0,0
Early Stuart,1,1953,154312,78238,NA,NA,NA,0,0,294,0,537711,0,0,2886,0,0,0,0,0
Early Stuart,1,1954,35058,18010,NA,NA,NA,0,0,341,0,154781,0,0,701,0,0,0,0,0
Early Stuart,1,1955,2170,1397,NA,NA,NA,0,0,11,0,25824,0,0,1632,0,0,0,0,0
Early Stuart,1,1956,25157,16661,NA,NA,NA,0,0,0,0,101035,0,0,6393,2966,0,0,0,0
Early Stuart,1,1957,235033,119273,NA,NA,NA,0,0,730,0,1215763,23,0,3272,3148,0,0,0,0
Early Stuart,1,1958,38812,22196,NA,NA,NA,0,0,755,0,102112,0,0,240,0,0,0,0,0
Early Stuart,1,1959,2670,1297,NA,NA,NA,0,0,0,0,14682,0,0,6153,0,0,0,0,0
Early Stuart,1,1960,14572,7401,NA,NA,NA,0,0,22,0,69925,0,0,4202,0,0,0,0,0
Early Stuart,1,1961,199136,87782,NA,NA,NA,0,0,630,0,252123,0,0,2208,881,0,0,0,0
Early Stuart,1,1962,26716,14103,NA,NA,NA,0,0,0,0,67661,0,0,5992,2132,0,0,0,0
Early Stuart,1,1963,4628,2590,NA,NA,NA,0,0,332,0,90397,0,0,1825,0,0,0,0,0
Early Stuart,1,1964,2421,1300,NA,NA,NA,0,0,1027,0,25940,0,0,12949,2971,0,0,0,0
Early Stuart,1,1965,23045,11241,NA,NA,NA,0,0,432,0,415253,0,0,1526,0,0,0,0,0
Early Stuart,1,1966,10859,5959,NA,NA,NA,0,0,1746,0,83040,0,0,0,0,0,0,0,0
Early Stuart,1,1967,21069,11167,NA,NA,NA,0,0,423,0,326142,0,0,13128,0,0,0,0,0
Early Stuart,1,1968,1587,795,NA,NA,NA,0,0,11,0,10412,0,0,0,0,0,0,0,0
Early Stuart,1,1969,109818,48796,NA,NA,NA,0,0,648,0,1366181,76,0,4452,4237,0,0,0,0
Early Stuart,1,1970,32747,15806,NA,NA,NA,0,0,1212,0,178232,0,0,1312,1380,0,0,0,0
Early Stuart,1,1971,95942,45610,NA,NA,NA,0,0,311,0,423510,0,0,6993,396,0,0,0,0
Early Stuart,1,1972,5086,2253,NA,NA,NA,0,0,25,0,32207,0,0,0,0,0,0,0,0
Early Stuart,1,1973,300653,153876,NA,NA,NA,0,0,4591,0,1342456,67,0,3951,1017,0,0,0,0
Early Stuart,1,1974,39659,21610,NA,NA,NA,0,0,1242,0,141307,0,0,2218,477,0,0,0,0
Early Stuart,1,1975,65780,26252,NA,NA,NA,0,0,150,0,220007,0,0,2852,76,0,0,0,0
Early Stuart,1,1976,12648,6792,NA,NA,NA,0,0,43,0,28800,0,0,3034,0,0,0,0,0
Early Stuart,1,1977,118017,53363,NA,NA,NA,0,0,572,0,752467,0,0,8655,0,0,0,0,0
Early Stuart,1,1978,50097,20004,NA,NA,NA,0,0,202,0,71470,0,0,1180,0,0,0,0,0
Early Stuart,1,1979,92763,36170,NA,NA,NA,0,0,34,0,89807,0,0,17889,206,0,0,0,0
Early Stuart,1,1980,17026,7361,NA,NA,NA,0,0,10,0,37950,0,0,25541,0,0,0,0,0
Early Stuart,1,1981,138072,71485,NA,NA,NA,0,0,46,0,331290,0,0,18805,0,0,0,0,0
Early Stuart,1,1982,4560,2158,NA,NA,NA,0,0,13,0,26796,0,0,1007,0,0,0,0,0
Early Stuart,1,1983,23874,13121,NA,NA,NA,0,0,423,0,176760,4,0,10949,760,0,0,0,0
Early Stuart,1,1984,45247,21868,NA,NA,NA,0,0,240,0,209867,12,0,29536,2385,0,0,0,0
Early Stuart,1,1985,237544,118124,NA,NA,NA,0,0,2414,0,1179879,0,0,26057,527,0,0,0,0
Early Stuart,1,1986,29004,15160,NA,NA,NA,0,0,56,0,128280,0,0,17603,3,0,0,0,0
Early Stuart,1,1987,148438,75524,NA,NA,NA,0,0,8,0,494847,0,0,31065,0,0,0,0,0
Early Stuart,1,1988,182129,88071,NA,NA,NA,0,0,33,0,319342,0,0,59894,0,0,663,0,0
Early Stuart,1,1989,384819,211041,NA,NA,NA,0,0,420,0,1091749,0,0,45932,688,0,0,0,0
Early Stuart,1,1990,97049,47065,NA,NA,NA,0,0,2,0,156963,0,0,9121,0,0,0,0,0
Early Stuart,1,1991,141152,85456,NA,NA,NA,0,0,514,0,129192,0,0,14581,172,0,0,0,0
Early Stuart,1,1992,66520,36565,NA,NA,NA,0,0,10,0,80797,0,0,19569,0,0,0,0,0
Early Stuart,1,1993,688015,386806,NA,NA,NA,0,0,847,0,1652166,0,0,161770,0,0,0,0,0
Early Stuart,1,1994,29519,14499,NA,NA,NA,0,0,6,0,27990,0,0,1034,0,0,0,0,0
Early Stuart,1,1995,122862,57342,NA,NA,NA,0,0,20,0,170595,0,0,18985,0,0,0,0,0
Early Stuart,1,1996,88453,41063,NA,NA,NA,0,0,0,0,359206,0,0,104940,0,0,0,0,0
Early Stuart,1,1997,266946,73416,NA,NA,NA,0,0,1,0,109249,0,0,38121,201,0,0,0,0
Early Stuart,1,1998,32590,9332,NA,NA,NA,0,0,2,0,24341,0,0,4349,0,0,0,0,0
Early Stuart,1,1999,24550,8189,NA,NA,NA,0,0,0,0,25927,0,0,4639,0,0,0,0,0
Early Stuart,1,2000,89859,35333,NA,NA,NA,0,0,0,0,132457,0,0,3417,0,0,0,0,0
Early Stuart,1,2001,170983,82852,NA,NA,NA,0,0,5,0,216279,0,0,35722,0,0,0,0,0
Early Stuart,1,2002,24637,12921,NA,NA,NA,0,0,0,0,20266,0,0,4300,0,0,19,0,0
Early Stuart,1,2003,13166,6932,NA,NA,NA,0,0,0,0,8431,0,0,1588,12,0,0,0,0
Early Stuart,1,2004,9286,5181,NA,NA,NA,0,0,0,0,32387,0,0,5932,0,0,0,0,0
Early Stuart,1,2005,98537,51153,NA,NA,NA,0,0,49,0,73944,0,0,7994,370,0,0,0,0
Early Stuart,1,2006,35816,15914,NA,NA,NA,0,0,0,0,96759,0,0,14572,0,0,0,0,0
Early Stuart,1,2007,5347,2376,NA,NA,NA,0,0,0,0,10630,0,0,355,0,0,0,0,0
Early Stuart,1,2008,29916,14446,NA,NA,NA,0,0,30,0,183286,0,0,11270,332,0,0,0,0
Early Stuart,1,2009,45297,21884,NA,NA,NA,0,0,20,0,170408,0,0,16567,0,0,0,0,0
Early Stuart,1,2010,60262,34198,NA,NA,NA,0,0,91,0,110871,0,0,26573,0,0,0,0,0
Early Stuart,1,2011,758,233,NA,NA,NA,0,0,9,0,2155,0,0,211,0,0,0,0,0
Early Stuart,1,2012,26233,6812,NA,NA,NA,0,0,22,0,17612,0,0,2486,0,0,0,0,0
Early Stuart,1,2013,86311,39658,NA,NA,NA,0,0,6,0,19801,0,0,6712,0,0,0,0,0
Early Stuart,1,2014,68613,23298,NA,NA,NA,0,0,12,0,87862,0,0,22501,0,0,0,0,0
Early Stuart,1,2015,10096,4060,NA,NA,NA,0,0,0,0,3417,0,0,1537,0,0,0,0,0
Early Stuart,1,2016,8612,3651,NA,NA,NA,0,0,0,0,18995,0,0,155,0,0,0,0,0
Early Stuart,1,2017,15433,7136,NA,NA,NA,0,0,0,0,78371,0,0,7509,0,0,0,0,0
Early Stuart,1,2018,48489,21450,NA,NA,NA,0,0,116,0,247580,0,0,26230,0,0,0,0,NA
Early Stuart,1,2019,89,46,NA,NA,NA,0,0,0,0,438,0,0,0,0,NA,NA,NA,NA
Late Stuart,2,1948,1049,NA,NA,NA,NA,0,0,0,0,327,0,0,0,0,0,0,0,0
Late Stuart,2,1949,107752,39085,NA,NA,NA,0,0,3433,0,1526554,0,0,0,215,0,0,0,0
Late Stuart,2,1950,5843,1834,NA,NA,NA,0,0,591,0,36671,0,0,2419,0,0,0,0,0
Late Stuart,2,1951,4402,1246,NA,NA,NA,0,0,0,0,56085,0,0,7559,166,0,0,0,0
Late Stuart,2,1952,1975,16,NA,NA,NA,0,0,86,0,3858,0,0,29,0,0,0,0,0
Late Stuart,2,1953,369023,78686,NA,NA,NA,0,0,830,0,1548072,0,0,1470,1867,0,0,0,0
Late Stuart,2,1954,5470,2687,NA,NA,NA,0,0,150,0,135111,0,0,2704,0,0,0,0,0
Late Stuart,2,1955,7618,3274,NA,NA,NA,0,0,29,0,50196,0,0,1120,0,0,0,0,0
Late Stuart,2,1956,1454,466,NA,NA,NA,0,0,0,0,13472,0,0,32630,0,0,0,0,0
Late Stuart,2,1957,531130,300038,NA,NA,NA,0,0,874,0,1327094,0,0,1916,0,0,0,0,0
Late Stuart,2,1958,23638,13152,NA,NA,NA,0,0,672,0,53044,0,0,961,0,0,0,0,0
Late Stuart,2,1959,8225,4090,NA,NA,NA,0,0,67,0,6092,0,0,1233,0,0,0,0,0
Late Stuart,2,1960,2961,1307,NA,NA,NA,0,0,27,0,6658,0,0,2932,0,0,0,0,0
Late Stuart,2,1961,411105,194461,NA,NA,NA,0,0,143,0,770385,0,0,7535,415,0,0,0,0
Late Stuart,2,1962,18689,9073,NA,NA,NA,0,0,45,0,43107,0,0,1917,0,0,0,0,0
Late Stuart,2,1963,3237,1092,NA,NA,NA,0,0,25,0,11911,0,0,113,0,0,0,0,0
Late Stuart,2,1964,1900,824,NA,NA,NA,0,0,60,0,1806,0,0,1235,0,0,0,0,0
Late Stuart,2,1965,214958,122786,NA,NA,NA,0,0,228,0,1102448,0,0,21752,91,0,0,0,0
Late Stuart,2,1966,9032,4164,NA,NA,NA,0,0,274,0,71954,0,0,1851,0,0,0,0,0
Late Stuart,2,1967,1642,897,NA,NA,NA,0,0,224,0,6294,0,0,10038,0,0,0,0,0
Late Stuart,2,1968,470,179,NA,NA,NA,0,0,0,0,27393,0,0,3906,0,0,0,0,0
Late Stuart,2,1969,207057,114300,NA,NA,NA,0,0,2756,0,1602892,54,0,19888,0,0,0,0,0
Late Stuart,2,1970,15055,8027,NA,NA,NA,0,0,318,0,70520,0,0,0,0,0,0,0,0
Late Stuart,2,1971,1535,725,NA,NA,NA,0,0,1243,0,65527,0,0,0,0,0,0,0,0
Late Stuart,2,1972,8704,3411,NA,NA,NA,0,0,0,0,16180,0,0,2586,0,0,0,0,0
Late Stuart,2,1973,214343,116703,NA,NA,NA,0,0,290,0,658158,0,0,5807,1843,0,0,0,0
Late Stuart,2,1974,14627,7371,NA,NA,NA,0,0,855,0,48593,0,0,1268,0,0,0,0,0
Late Stuart,2,1975,14229,5679,NA,NA,NA,0,0,541,0,214097,0,0,478,0,0,0,0,0
Late Stuart,2,1976,3000,1674,NA,NA,NA,0,0,0,0,3339,0,0,0,0,0,0,0,0
