Stock,Year,Escapement,Return,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,,,,,,
Redoubt,1982,456,6876,NA,75,1808,4632,340,21,0,,,,,,
Redoubt,1983,2540,12869,NA,69,5964,2786,4029,0,22,,,,,,
Redoubt,1984,11579,50161,NA,94,466,27275,21093,1233,0,,,,,,
Redoubt,1985,10991,96230,NA,0,2781,53426,39819,204,0,,,,,,
Redoubt,1986,9798,10927,NA,151,4224,3242,3043,267,0,,,,,,
Redoubt,1987,14251,14283,NA,466,4200,4702,4167,747,0,,,,,,
Redoubt,1988,3252,32707,NA,101,1738,14104,16657,106,0,,,,,,
Redoubt,1989,31570,27682,NA,739,9354,15480,2093,16,0,,,,,,
Redoubt,1990,73181,45395,NA,269,12609,29425,3092,0,0,,,,,,
Redoubt,1991,45510,36354,NA,384,5501,14938,15308,223,0,,,,,,
Redoubt,1992,10326,35765,NA,3174,6261,17398,8931,0,0,,,,,,
Redoubt,1993,25018,41747,NA,585,4627,25946,10589,0,0,,,,,,
Redoubt,1994,39710,72288,NA,821,12567,58664,236,0,0,,,,,,
Redoubt,1995,34798,5105,NA,1421,1064,2480,102,37,0,,,,,,
Redoubt,1996,19209,7510,NA,131,1045,3576,2676,82,0,,,,,,
Redoubt,1997,28898,27240,NA,80,1306,13166,12688,0,0,,,,,,
Redoubt,1998,40156,81556,NA,137,10750,64752,5854,62,0,,,,,,
Redoubt,1999,57754,62222,NA,45,4374,51588,6216,0,0,,,,,,
Redoubt,2000,3032,91230,NA,35,31910,46729,12377,179,0,,,,,,
Redoubt,2001,3667,75082,NA,849,18634,44609,10940,51,0,,,,,,
Redoubt,2002,23988,142840,NA,1308,72200,66894,2439,0,0,,,,,,
Redoubt,2003,69893,12325,NA,0,4663,7240,423,0,0,,,,,,
Redoubt,2004,77263,17272,NA,0,1772,11999,3500,0,0,,,,,,
Redoubt,2005,65653,10179,NA,22,1633,4834,3690,0,0,,,,,,
Redoubt,2006,103953,30284,NA,554,11850,15867,2013,0,0,,,,,,
Redoubt,2007,66938,30387,NA,0,3381,17361,9543,102,0,,,,,,
Redoubt,2008,10064,68784,NA,2438,24415,36650,5281,0,0,,,,,,
Redoubt,2009,12569,24896,NA,3542,10173,10969,211,0,0,,,,,,
Redoubt,2010,17156,18547,NA,1623,6463,9719,742,0,0,,,,,,
Redoubt,2011,22720,26883,NA,2837,7053,9805,7189,0,0,,,,,,
Redoubt,2012,40944,42473,NA,1538,15684,23916,1335,0,0,,,,,,
Redoubt,2013,49124,23052,NA,624,5306,14493,2548,81,0,,,,,,
Redoubt,2014,19936,218433,NA,26654,89057,100863,1859,0,0,,,,,,
Redoubt,2015,13983,26962,NA,3209,7863,14789,1102,0,NA,,,,,,
Redoubt,2016,22774,30478,NA,2834,8411,17144,2089,NA,NA,,,,,,
Redoubt,2017,55702,NA,NA,20336,38490,31482,NA,NA,NA,,,,,,
Redoubt,2018,73810,NA,NA,15946,80975,NA,NA,NA,NA,,,,,,
Redoubt,2019,60073,NA,NA,12638,NA,NA,NA,NA,NA,,,,,,
Redoubt,2020,41599,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
Redoubt,2021,61273,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
Redoubt,2022,85785,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
Chilkoot,1976,71291,123362,0,0,9188,102489,14612,46,NA,,,,,,
Chilkoot,1977,97368,292305,0,0,9657,204560,79890,162,NA,,,,,,
Chilkoot,1978,35454,279209,0,24,30149,226272,23427,403,NA,,,,,,
Chilkoot,1979,96122,350528,0,0,17145,293893,36350,524,NA,,,,,,
Chilkoot,1980,98673,213768,66,84,9932,171712,31372,602,NA,,,,,,
Chilkoot,1981,84047,276356,0,0,16244,152078,107304,730,NA,,,,,,
Chilkoot,1982,103038,348958,0,120,18762,289299,38009,2767,NA,,,,,,
