,stock,broodyear,spawners,recruits,R3,R4,R5,R6,R7
14,Alastair,1960,7770,23532,0,187,12340,11005,0
15,Alastair,1961,29417,32500,0,740,14674,17086,0
16,Alastair,1962,22079,43080,0,880,22781,19418,0
17,Alastair,1963,19981,30878,0,1367,25891,3621,0
18,Alastair,1964,4218,9103,0,1553,4828,2722,0
19,Alastair,1965,17539,5348,0,290,3629,1429,0
20,Alastair,1966,18649,7138,0,218,1905,5015,0
21,Alastair,1967,27752,12033,0,114,6686,5232,0
22,Alastair,1968,33302,9750,0,401,6976,2372,0
23,Alastair,1969,6660,4272,0,419,3163,690,0
24,Alastair,1970,4995,4898,0,190,920,3788,0
25,Alastair,1971,2553,13980,0,55,5050,8874,0
26,Alastair,1972,8881,23720,0,303,11832,11585,0
27,Alastair,1973,8881,27442,0,710,15447,11285,0
28,Alastair,1974,3885,35173,0,927,15047,19200,0
29,Alastair,1975,1332,27640,0,903,25600,1138,0
30,Alastair,1976,6660,9400,0,1536,1517,6347,0
31,Alastair,1977,15541,15598,0,91,8463,7044,0
32,Alastair,1978,19981,14667,0,508,9392,4768,0
33,Alastair,1979,19981,12071,0,564,6357,5150,0
34,Alastair,1980,33302,20450,0,381,6867,13202,0
35,Alastair,1981,1998,23513,0,412,17602,5499,0
36,Alastair,1982,10546,17978,0,1056,7331,9591,0
37,Alastair,1983,14431,22439,0,440,12788,9211,0
38,Alastair,1984,8881,19494,0,767,12281,6445,0
39,Alastair,1985,8881,24411,0,737,8594,15080,0
40,Alastair,1986,23311,33265,0,516,20107,12642,0
41,Alastair,1987,11101,29110,0,1206,16856,11048,0
42,Alastair,1988,14431,24301,0,1011,14730,8560,0
43,Alastair,1989,16576,24786,0,884,11413,12489,0
44,Alastair,1990,11101,37035,0,685,16652,19698,0
45,Alastair,1991,24421,49801,0,999,26264,22538,0
46,Alastair,1992,17761,42862,0,1576,30050,11236,0
47,Alastair,1993,16651,19706,0,1803,14981,2921,0
48,Alastair,1994,14431,12250,0,899,3895,7456,0
49,Alastair,1995,18871,20181,0,234,9942,10005,0
50,Alastair,1996,27752,16424,0,597,13340,2487,0
51,Alastair,1997,26642,36328,0,800,3316,32211,0
52,Alastair,1998,20536,50880,0,199,42948,7733,0
53,Alastair,1999,5550,19105,0,2577,10311,6218,0
54,Alastair,2000,12087,14795,0,619,8290,5886,0
55,Alastair,2001,19630,26137,0,497,7848,17792,0
56,Alastair,2002,4346,24671,0,471,23722,478,0
57,Alastair,2003,64724,15252,0,1423,637,13192,0
58,Alastair,2004,15951,53355,0,38,17589,35727,0
59,Alastair,2005,13324,70148,0,1055,47636,21457,0
60,Alastair,2006,11489,49001,0,2858,28609,17533,0
61,Alastair,2007,35091,38582,0,1717,23378,13488,0
62,Alastair,2008,985,24672,0,1403,17983,5286,0
63,Alastair,2009,29550,18475,0,1079,7048,10348,0
64,Alastair,2010,79168,45678,0,423,13797,31459,0
65,Alastair,2011,44309,48620,0,828,41945,5848,0
66,Alastair,2012,36410,11740,0,2517,7797,1426,0
67,Alastair,2013,30504,4329,0,468,1902,1960,0
68,Alastair,2014,11609,2932,0,114,2613,205,0
69,Alastair,2015,23622,6157,0,157,274,5727,0
70,Alastair,2016,66659,18278,0,16,7636,10626,0
71,Alastair,2017,13876,14885,0,458,14168,259,NA
91,Asitka,1961,600,1362,78,443,842,0,0
94,Asitka,1964,500,1198,134,720,344,0,0
95,Asitka,1965,550,526,113,310,103,0,0
96,Asitka,1966,600,250,49,93,108,0,0
97,Asitka,1967,600,229,15,98,117,0,0
98,Asitka,1968,600,956,15,105,836,0,NA
99,Asitka,1969,350,773,17,753,3,NA,NA
117,Asitka,1987,100,1751,46,623,1082,0,NA
129,Asitka,1999,406,1421,154,742,524,0,0
130,Asitka,2000,505,785,117,472,196,0,0
