"","stock","broodyear","run","spawners","recruits","r3","r4","r5","r6","r7"
"2","Babine-Early-Wild",1955,NA,NA,NA,NA,NA,21979.854,0,0
"3","Babine-Early-Wild",1956,NA,NA,NA,NA,53728.532,45269.548,0,0
"4","Babine-Early-Wild",1957,NA,NA,232638.373,8505.614,200836.724,23296.035,0,0
"5","Babine-Early-Wild",1958,NA,NA,42248.662,4001.728,19052.355,19194.579,0,0
"6","Babine-Early-Wild",1959,NA,NA,166191.523,1900.815,70716.87,93573.838,0,0
"7","Babine-Early-Wild",1960,84214,42485,74525.515,22337.551,36562.86,15625.104,0,0
"8","Babine-Early-Wild",1961,250108,133007,67885.806,5281.302,32384.704,30219.8,0,0
"9","Babine-Early-Wild",1962,44205,21587,165296.168,3558.192,33901.4,127836.576,0,0
"10","Babine-Early-Wild",1963,112249,77002,264644.449,12578.8,132336,119729.649,0,0
"11","Babine-Early-Wild",1964,135418,68409,83444.22,4499.424,18730.27,60214.526,0,0
"12","Babine-Early-Wild",1965,51568,29888,139048.0311323,5619.081,87967.031,45461.9191323,0,0
"13","Babine-Early-Wild",1966,76700,31977,139910.76324249,20183.64,92671.62331817,27055.49992432,0,0
"14","Babine-Early-Wild",1967,264672,95242,127886.551869095,16596.45754953,40276.956395648,71013.137923917,0,0
"15","Babine-Early-Wild",1968,144079,62457,172465.020609902,1939.543680032,24220.190402973,146305.286526897,0,0
"16","Babine-Early-Wild",1969,168197,89905,351956.776493476,14809.67167311,159532.97086005,177614.133960316,0,0
"17","Babine-Early-Wild",1970,154730,82164,141688.495155956,28784.742613053,90718.216927379,22185.535615524,0,0
"18","Babine-Early-Wild",1971,69272,34049,111843.566113756,27978.649112305,68655.337578441,15209.57942301,0,0
"19","Babine-Early-Wild",1972,110043,52692,79173.512418012,8366.126806035,9016.98908124,61790.396530737,0,0
"20","Babine-Early-Wild",1973,334623,140253,102300.405019215,4228.43149575,54041.305560582,44030.667962883,0,0
"21","Babine-Early-Wild",1974,296311,109851,25292.661723476,2281.297908681,13431.635614803,9579.728199992,0,0
"22","Babine-Early-Wild",1975,99207,60353,139209.078369632,15106.696422314,76363.269293338,47739.11265398,0,0
"23","Babine-Early-Wild",1976,28455,13336,26268.507714632,2766.00250667,12577.83955219,10924.665655772,0,0
"24","Babine-Early-Wild",1977,118113,54679,293905.470113321,10193.04779383,84408.180079206,199304.242240285,0,0
"25","Babine-Early-Wild",1978,72569,32032,71962.147423387,4121.154265022,40778.048529785,27062.94462858,0,0
"26","Babine-Early-Wild",1979,88709,42455,36633.282055808,3972.70922993,15936.6481281,16723.924697778,0,0
"27","Babine-Early-Wild",1980,70510,31679,133627.204059662,7715.40724332,30887.102809032,95024.69400731,0,0
"28","Babine-Early-Wild",1981,99454,46466,86474.779842908,2602.97249319,49432.54581326,34439.261536458,0,0
"29","Babine-Early-Wild",1982,244055,93630,46970.735495715,1832.76017943,18887.048973576,26250.926342709,0,0
"30","Babine-Early-Wild",1983,50715,26965,51689.15645897,2635.689489966,20253.350263329,28800.116705675,0,0
"31","Babine-Early-Wild",1984,50214,26503,106018.889804243,12782.723393962,70614.335519325,22621.830890956,0,0
"32","Babine-Early-Wild",1985,146290,75649,43053.747410408,2010.547775,12163.282984116,28879.916651292,0,0
"33","Babine-Early-Wild",1986,55962,26865,104388.332404545,1690.886124928,14541.814243957,88155.63203566,0,0
"34","Babine-Early-Wild",1987,59287,38206,100327.897968835,1537.269104751,32316.68173153,66473.947132554,0,0
"35","Babine-Early-Wild",1988,101425,42435,96952.588119151,14522.68623281,56639.433053541,25790.4688328,0,0
"36","Babine-Early-Wild",1989,36476,18412,58784.458896207,9057.619813905,14258.37940632,35468.459675982,0,0
"37","Babine-Early-Wild",1990,44959,21328,101990.043800163,831.15176088,12420.247102803,88738.64493648,0,0
"38","Babine-Early-Wild",1991,134995,58719,174661.768229805,6090.293221215,96062.76200352,72508.71300507,0,0
"39","Babine-Early-Wild",1992,132171,52358,347177.05741974,19438.59306,98061.54674724,229676.9176125,0,0
"40","Babine-Early-Wild",1993,40880,16646,142778.654297866,1059.74024769,72498.72446992,69220.189580256,0,0
"41","Babine-Early-Wild",1994,53979,25124,13435.109118528,564.35791758,4869.70277706,8001.048423888,0,0
"42","Babine-Early-Wild",1995,204240,79679,91831.810238681,3874.107642684,66248.680546125,21709.022049872,0,0
"43","Babine-Early-Wild",1996,171630,60909,620729.529435912,15057.271029987,179405.445318842,426266.813087083,0,0
"44","Babine-Early-Wild",1997,302740,92245,64701.509487039,748.532631286,36247.807857053,27705.1689987,0,0
"45","Babine-Early-Wild",1998,77964,43130,97535.062414198,8258.379055864,30288.505965726,58988.177392608,0,0
"46","Babine-Early-Wild",1999,89307,63692,33960.491567082,824.325035574,19218.997174584,13917.169356924,0,0
"47","Babine-Early-Wild",2000,201863,84558,67699.860530063,5144.825432808,47716.009107915,14839.02598934,0,0
"48","Babine-Early-Wild",2001,470773,232802,38980.361484805,733.821535161,18784.502073484,19462.03787616,0,0
"49","Babine-Early-Wild",2002,58818,29324,144205.865591464,4894.471937176,56050.668991788,83260.7246625,0,0
"50","Babine-Early-Wild",2003,83352,55028,17681.218529504,781.293132052,5451.59507475,11448.330322702,0,0
"51","Babine-Early-Wild",2004,62367,39546,65662.836513084,2037.68026275,42593.71605203,21031.440198304,0,0
"52","Babine-Early-Wild",2005,38518,25141,17736.223766936,531.953625268,6239.54668264,10964.723459028,0,0
"53","Babine-Early-Wild",2006,76294,40874,70895.848928096,753.013119056,15076.4947782,55066.34103084,0,0
"54","Babine-Early-Wild",2007,90750,52862,133253.23771058,3340.781762772,48236.40719848,81676.048749328,0,0
"55","Babine-Early-Wild",2008,54574,28667,19765.925891004,1777.25177068,14760.73172498,3227.942395344,0,0
"56","Babine-Early-Wild",2009,28024,20503,7686.977013332,234.219525692,3157.769737476,4294.987750164,0,0
"57","Babine-Early-Wild",2010,29382,20455,64942.069811118,4732.287878298,23765.59890588,36444.18302694,0,0
"58","Babine-Early-Wild",2011,105080,64622,93944.891179812,1447.413343956,32634.4360329,59863.041802956,0,0
"59","Babine-Early-Wild",2012,96671,60983,45137.631985458,731.38094016,15411.054739818,28995.19630548,0,0
"60","Babine-Early-Wild",2013,11118,8760,5153.336256338,247.903457226,1135.829240056,725.27639904,0,3044.327160016
"61","Babine-Early-Wild",2014,29508,20322,26403.940753337,1472.974454464,13778.76849144,7493.7971158,3044.327160016,614.073531617
"62","Babine-Early-Wild",2015,69810,52239,11338.949803173,105.95510952,1686.1043461,8137.720696016,614.073531617,795.09611992
"63","Babine-Early-Wild",2016,75522,41607,NA,730.0985381,6557.012352928,18545.020581802,795.09611992,NA
"64","Babine-Early-Wild",2017,31604,28036,NA,196.93979104,16948.429415827,17202.988477088,NA,NA
"65","Babine-Early-Wild",2018,14610,11857,NA,4342.661796889,26744.141733184,NA,NA,NA
"66","Babine-Early-Wild",2019,9910,6980,NA,993.773669808,NA,NA,NA,NA
"67","Babine-Early-Wild",2020,17936,14328,NA,NA,NA,NA,NA,NA
"68","Babine-Early-Wild",2021,40573,26668,NA,NA,NA,NA,NA,NA
"69","Babine-Early-Wild",2022,45736,34343,NA,NA,NA,NA,NA,NA
"70","Babine-Fulton",1955,NA,NA,NA,NA,NA,27731.25,0,0
"71","Babine-Fulton",1956,NA,NA,NA,NA,67787.5,87197.293,0,0
"72","Babine-Fulton",1957,NA,NA,528057.258,10731.25,386847.659,130478.349,0,0
"73","Babine-Fulton",1958,NA,NA,162260.254,7708.048,106709.997,47842.209,0,0
